participant,escrow_id,inference_id,status,model,input_length_claimed,input_tokens_actual,output_tokens,cost,timeout_count,timeout_reasons,validation_false_rows_for_inference,validation_true_rows_for_inference
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1939,3,FINISHED,moonshotai/Kimi-K2.6,10576,1630,1024,26540,0,,0,0
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1939,6,INVALIDATED,moonshotai/Kimi-K2.6,276,23,220,2430,0,,1,0
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1939,38,FINISHED,moonshotai/Kimi-K2.6,17389,3627,3072,66990,0,,0,0
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1939,40,FINISHED,moonshotai/Kimi-K2.6,16955,3893,3072,69650,0,,0,0
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1939,51,FINISHED,moonshotai/Kimi-K2.6,1693,34,636,6700,0,,0,0
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1939,56,INVALIDATED,moonshotai/Kimi-K2.6,276,23,220,2430,0,,1,0
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1939,102,FINISHED,moonshotai/Kimi-K2.6,19010,6586,3072,96580,0,,0,0
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1939,104,INVALIDATED,moonshotai/Kimi-K2.6,17964,3313,3072,63850,0,,2,0
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1939,115,FINISHED,moonshotai/Kimi-K2.6,11582,2914,3072,59860,0,,0,0
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1939,118,VALIDATED,moonshotai/Kimi-K2.6,184,9,16,250,0,,0,1
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1939,120,FINISHED,moonshotai/Kimi-K2.6,11377,2266,3072,53380,0,,0,0
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1939,227,FINISHED,moonshotai/Kimi-K2.6,9723,1881,3072,49530,0,,0,0
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1939,280,FINISHED,moonshotai/Kimi-K2.6,339,57,1500,15570,0,,0,0
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1939,291,FINISHED,moonshotai/Kimi-K2.6,395143,69220,3072,722920,0,,0,0
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,1939,314,FINISHED,moonshotai/Kimi-K2.6,4868,1028,1536,25640,0,,0,0
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1939,374,FINISHED,moonshotai/Kimi-K2.6,6955,1552,3072,46240,0,,0,0
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1939,376,FINISHED,moonshotai/Kimi-K2.6,220,13,100,1130,0,,0,0
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1939,552,FINISHED,moonshotai/Kimi-K2.6,165062,0,1296,12960,0,,0,0
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1939,579,FINISHED,moonshotai/Kimi-K2.6,231802,52928,3072,560000,0,,0,0
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1939,595,FINISHED,moonshotai/Kimi-K2.6,486,56,720,7760,0,,0,0
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,1939,602,FINISHED,moonshotai/Kimi-K2.6,17141,4113,3072,71850,0,,0,0
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,1940,394,FINISHED,moonshotai/Kimi-K2.6,113805,23705,553,242580,0,,0,0
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,1941,25,INVALIDATED,moonshotai/Kimi-K2.6,67252,14843,3072,179150,0,,1,0
