epoch,participant_id,reported_address,claimed,inference_count,missed_requests,miss_rate,earned_coins,rewarded_coins,validation_weight,full_weight,confirmation_weight,raw_total,chain_effective_weight_uncapped,chain_effective_weight,total_epoch_weight,fixed_epoch_reward,expected_reward_pre_downtime,preliminary_exposure,zero_reward,zero_reward_claimed,needs_root_cause_review
269,gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,False,True,188,1,0.00529101,24048470,195902087155,528,528,551,621,468,468,679397,284391645956190,195902087155,0,False,False,False
269,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,False,True,2251,10,0.00442282,181089191,4751462801938,23602,23602,14366,18460,14366,14366,679397,284391645956190,6013524324962,1262061523024,False,False,False
269,gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,False,True,492,9,0.01796407,38932077,449988768574,1075,1075,1936,1936,1075,1075,679397,284391645956190,449988768574,0,False,False,False
269,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,False,True,3823,5,0.00130617,457155334,14014952521514,45842,45842,48770,41269,45842,45842,679397,284391645956190,19189195468810,5174242947296,False,False,False
269,gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,False,True,77,4,0.04938272,9358793,244459014741,590,590,615,621,584,584,679397,284391645956190,244459014741,0,False,False,False
269,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,False,True,459,32,0.06517312,31544836,1072019754714,2561,2561,2695,2695,2561,2561,679397,284391645956190,1072019754714,0,False,False,False
269,gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,False,True,571,12,0.02058319,52014233,1678981349535,4188,4188,4718,4926,4011,4011,679397,284391645956190,1678981349535,0,False,False,False
269,gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,False,True,156,14,0.08235294,13634943,1726282494511,11439,11439,4124,3039,4124,4124,679397,284391645956190,1726282494511,0,False,False,False
269,gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,False,True,3168,11,0.00346021,317935269,7613809964273,19509,19509,19146,20535,18189,18189,679397,284391645956190,7613809964272,0,False,False,False
269,gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,False,False,555,39,0.06565657,0,0,4924,4924,0,4433,0,0,679397,284391645956190,0,0,True,False,False
269,gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,False,True,1322,2,0.00151057,118831006,3551353221006,8755,8755,9982,10300,8484,8484,679397,284391645956190,3551353221006,0,False,False,False
269,gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,False,True,295,10,0.03278689,25544502,2102180089096,5174,5174,7317,4658,5174,5174,679397,284391645956190,2165806408001,63626318905,False,False,False
269,gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,False,True,250,4,0.01574803,27298290,340735681506,836,836,958,983,814,814,679397,284391645956190,340735681506,0,False,False,False
269,gonka18x5f3q6g0r3n7rgslwq66d2hd6tp5mgxwxnmc3,False,True,165,14,0.07821229,11558025,505243203412,1211,1211,1270,1274,1207,1207,679397,284391645956190,505243203412,0,False,False,False
269,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,False,False,0,0,,0,0,4449,4449,0,4476,0,0,679397,284391645956190,0,0,True,False,False
269,gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,False,True,166,0,0.00000000,23197210,147763753773,358,358,371,376,353,353,679397,284391645956190,147763753773,0,False,False,False
269,gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,False,True,6690,70,0.01035503,35657039,26469385853034,68188,68188,86508,58721,68188,68188,679397,284391645956190,28543101536304,2073715683270,False,False,False
